StationCode,isSWMP,DateTimeStamp,F_Record,ATemp,F_ATemp,RH,F_RH,BP,F_BP,WSpd,F_WSpd,MaxWSpd,Wdir,F_Wdir,SDWDir,F_SDWDir,TotPAR,F_TotPAR,TotPrcp,F_TotPrcp,TotSoRad,F_TotSoRad
elkcwmet  ,P,11/21/17 0:00,,13.7,<0> ,87,<0> ,1018,<0> ,0,<0> ,0.6,346,<0> ,2,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 0:15,,13.7,<0> ,89,<0> ,1018,<0> ,0.2,<0> ,0.7,259,<0> ,2,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 0:30,,13.5,<0> ,92,<0> ,1018,<0> ,0.4,<0> ,0.8,298,<0> ,28,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 0:45,,13.6,<0> ,89,<0> ,1018,<0> ,0.5,<0> ,1,66,<0> ,9,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 1:00,,14.5,<0> ,79,<0> ,1018,<0> ,1.8,<0> ,2.8,67,<0> ,25,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 1:15,,13.8,<0> ,82,<0> ,1018,<0> ,0.8,<0> ,1.6,166,<0> ,37,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 1:30,,13.8,<0> ,82,<0> ,1018,<0> ,0.6,<0> ,1,165,<0> ,26,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 1:45,,13.6,<0> ,87,<0> ,1018,<0> ,0.3,<0> ,0.7,293,<0> ,39,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 2:00,,13.6,<0> ,90,<0> ,1018,<0> ,0.2,<0> ,1,280,<0> ,39,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 2:15,,15.4,<0> ,77,<0> ,1017,<0> ,2.4,<0> ,5.3,85,<0> ,19,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 2:30,,16.9,<0> ,68,<0> ,1017,<0> ,2.5,<0> ,4.2,92,<0> ,16,<0> ,0,<0> ,0,<0> ,,<-1> 
elkcwmet  ,P,11/21/17 2:45,,17.1,<0> ,66,<0> ,1017,<0> ,0.8,<0> ,2.4,181,<0> ,60,<0> ,0,<0> ,0,<0> ,,<-1> 
